"Issue Type","Summary","Description","Epic Link","Assignee","Story Points","Priority","Sprint/Due Date","Acceptance Criteria"
"Epic","Core / Platform & Delivery","Preserve the existing Django authentication and shared architecture while completing permissions, core settings, approved UUID numbering, planning coordination, and final integration. Authentication and all shared design/UI-UX work remain exclusively owned by Mhmd Hajeer; Malik owns planning coordination and also contributes implementation.","","Mhmd Hajeer","","Highest","2026-09-06",""
"Story","Coordinate the approved Phase 1 source of truth and dated delivery plan","Maintain implementation traceability across the approved BRD, ERD, repository context, backlog, and team handoffs without changing scope. Estimate: 240m.","Core / Platform & Delivery","Malik","5","Highest","2026-08-29","1) Every delivery item maps to an approved BRD/ERD requirement or a documented repository gap; 2) all due dates fall from 2026-08-29 through 2026-09-06; 3) completed baseline model work is not scheduled again; 4) deferred Phase 2 features remain absent."
"Story","Provision the exact role permissions and enforce the existing authentication boundary","Complete deterministic permission provisioning for Owner / Admin, Pharmacist, Inventory Manager, and Accountant while preserving Django User, sessions, AuthenticationForm login, and POST-only CSRF-protected logout. Estimate: 360m.","Core / Platform & Delivery","Mhmd Hajeer","8","Highest","2026-08-30","1) The four groups retain their exact names; 2) Owner / Admin receives full business permissions through its group without requiring is_superuser; 3) every protected action checks authentication and permissions server-side; 4) anonymous and unauthorized requests are denied; 5) current login, session, and logout behavior remains unchanged."
"Story","Integrate the shared application UI and permission-aware navigation","Own all shared design and UI-UX integration across layouts, components, responsive behavior, navigation, dialogs, toasts, and feature-route activation. Estimate: 360m.","Core / Platform & Delivery","Mhmd Hajeer","8","High","2026-09-01","1) Feature pages reuse the existing dashboard/auth layouts and documented components; 2) navigation uses the reserved namespaces and permission filtering; 3) missing routes remain safely unavailable until implemented; 4) responsive and keyboard behavior is preserved; 5) no duplicate navigation or UI framework is introduced."
"Story","Complete core settings workflow logic over the existing models","Use the existing PharmacySettings, TaxRate, and PaymentMethod models to implement validation, permission-scoped handlers, and reusable form processing; do not recreate or rewrite baseline models or migrations. Estimate: 240m.","Core / Platform & Delivery","Malik","5","High","2026-08-31","1) Only Owner / Admin can change settings; 2) singleton pharmacy settings, one currency, tax ranges, low-stock/expiry defaults, and payment-method activation are validated; 3) secrets and environment settings are never exposed; 4) existing model constraints remain authoritative."
"Story","Deliver the core settings UI-UX","Design and implement the Owner/Admin settings screens using existing forms, layouts, and shared components while keeping operational configuration separate from environment secrets. Estimate: 240m.","Core / Platform & Delivery","Mhmd Hajeer","5","High","2026-09-01","1) Pharmacy identity, currency, tax, thresholds, payment methods, and invoice/receipt text are presented clearly; 2) unauthorized users cannot access change actions; 3) validation errors are accessible and preserve entered values; 4) no secret or deployment variable appears in the interface."
"Story","Implement approved UUID-derived document numbering","Create one reusable service/helper for deterministic document numbers using the complete uppercase UUID hex value; no DocumentSequence model or sequence infrastructure is permitted. Estimate: 240m.","Core / Platform & Delivery","Malik","5","Highest","2026-08-31","1) Numbers use SAL-, PUR-, CRT-, SRT-, and CRF- plus the complete uppercase UUID hex value; 2) draft sales and purchase numbers may stay blank until completion/posting; 3) return/refund numbers are assigned at creation; 4) uniqueness is preserved; 5) focused tests cover every prefix and retry-safe deterministic output."
"Story","Integrate and verify the complete Phase 1 workflow","Lead cross-feature integration and final technical readiness beyond authentication/design ownership, coordinating shared routes, permissions, deployment-safe configuration, and end-to-end checks. Estimate: 420m.","Core / Platform & Delivery","Mhmd Hajeer","8","Highest","2026-09-06","1) One representative purchase-to-stock-to-sale-to-payment-to-return/refund-to-report scenario succeeds; 2) role access matches the BRD matrix; 3) Django checks and critical tests pass; 4) no deferred purchase-order, cashier-shift, discrepancy, manual-adjustment, generic audit/idempotency, or sequence subsystem is introduced."
"Story","Coordinate final documentation and operational handoff","Reconcile implementation outcomes with the BRD, ERD, repository context, development guide, Jira backlog, and Neon backup runbook; record only genuine remaining gaps and decisions. Estimate: 240m.","Core / Platform & Delivery","Malik","5","Medium","2026-09-06","1) Documentation matches the final repository state; 2) the backup runbook remains discoverable and contains no credentials; 3) migration and inventory ownership rules are explicit; 4) unresolved team-lead decisions are recorded without silently inventing requirements; 5) no completed work remains described as unimplemented."
"Epic","Catalog / Inventory / Purchasing","Complete catalog, party, inventory, purchase-receiving, and supplier-return workflows on the existing baseline models. All stock mutation remains inside apps.inventory; Phase 1 has no direct/manual adjustment workflow.","","Hala","","Highest","2026-09-06",""
"Story","Expose catalog and party workflows over the existing models","Implement remaining query, validation, form-processing, permission, and route logic for medicines, units, barcodes, suppliers, customers, and prescribers without rebuilding their models. Estimate: 360m.","Catalog / Inventory / Purchasing","Hala","8","High","2026-08-31","1) Authorized users can search and maintain approved master data; 2) unique barcodes/codes, base-unit rules, conversions, thresholds, and active-state rules are enforced; 3) used master records are deactivated rather than hard-deleted; 4) walk-in sales require no fake Customer row; 5) role permissions match the BRD matrix."
